method,best_epoch,overall_normalized_rmse,a_rmse_real,b_rmse_real,d_rmse_real,mean_pde_residual,identity_rmse
pure,100,0.046468351036310196,0.021431440487504005,0.031349342316389084,5.222951889038086,0.024965010583400726,0.032289110124111176
physical,100,0.04699486494064331,0.02265230193734169,0.03149576112627983,5.118590831756592,0.02266940288245678,0.033379510045051575
soft_physical,98,0.04695477709174156,0.02267124317586422,0.03136414662003517,5.112581729888916,0.022723697125911713,0.032928790897130966
