method,best_epoch,overall_normalized_rmse,A_rmse_real,B_rmse_real,d_rmse_real,mean_pde_residual,identity_rmse
pure,99,0.1339975893497467,0.14354436099529266,0.0910956859588623,8.566789627075195,1.0448322296142578,0.14354434609413147
physical,97,0.137034073472023,0.18775753676891327,0.10804976522922516,5.729907035827637,0.645244836807251,0.18775734305381775
soft_physical,87,0.1335531622171402,0.15212373435497284,0.0919358879327774,8.057795524597168,0.8892914056777954,0.15212370455265045
