method,best_epoch,overall_normalized_rmse,a_rmse_real,phi_rmse_real,r_rmse_real,mean_pde_residual,identity_rmse
pure,99,0.07077229022979736,0.18206246197223663,0.05410164222121239,16.783355712890625,0.19267089664936066,0.12604866921901703
physical,100,0.0700298547744751,0.18265636265277863,0.05452887341380119,16.47564125061035,0.17203500866889954,0.1283835470676422
soft_physical,99,0.07069818675518036,0.18094594776630402,0.05398526042699814,16.7864933013916,0.19152413308620453,0.12410798668861389
