File,CheckpointPath,Architecture,BaseArch,Loss,Lambda,Samples,Source_NRMSE,Source_R2,Source_PDE_Residual,Recomputed_Joint_NRMSE,Recomputed_R2,Recomputed_PDE_Residual,EvalDataset,EvalSamples,ParamScalerSource,Norm_NRMSE_a,Norm_RMSE_a,Norm_TargetMean_a,Real_NRMSE_a,Real_RMSE_a,Real_TargetMean_a,Norm_NRMSE_b,Norm_RMSE_b,Norm_TargetMean_b,Real_NRMSE_b,Real_RMSE_b,Real_TargetMean_b,Norm_NRMSE_c,Norm_RMSE_c,Norm_TargetMean_c,Real_NRMSE_c,Real_RMSE_c,Real_TargetMean_c,Norm_NRMSE_delta,Norm_RMSE_delta,Norm_TargetMean_delta,Real_NRMSE_delta,Real_RMSE_delta,Real_TargetMean_delta
PaperPINN_CNN_Flex_L2_dilated_physical_lam0.1_n8000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_dilated_physical_lam0.1_n8000_1_best.pth,"FlexCNN (L=2, dilated) (λ=0.1)","FlexCNN (L=2, dilated)",physical,0.1,8000,0.081111275,0.8656076192855835,0.0452306216210126,0.081111275,0.8656076192855835,0.045230621621012684,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.37338743,0.0768693,0.20587009,0.34807733,0.05145468,0.14782542,0.13809326,0.09723043,0.7040925,0.09850797,0.15157335,1.5386912,0.2997182,0.04621655,0.15420002,0.29412946,0.31840655,1.0825388,0.13590322,0.07988933,0.58783984,0.11429176,14.377218,125.79401
PaperPINN_CNN_Flex_L2_dilated_physical_lam1e-05_n16000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_dilated_physical_lam1e-05_n16000_1_best.pth,"FlexCNN (L=2, dilated) (λ=1e-05)","FlexCNN (L=2, dilated)",physical,1e-05,16000,0.11701822,0.6739096641540527,0.1916184839010238,0.11701822,0.6739096641540527,0.19161848390102387,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.8329465,0.17147876,0.20587009,0.7764846,0.114784166,0.14782542,0.13749552,0.09680956,0.7040925,0.09808151,0.15091714,1.5386912,0.43773568,0.06749885,0.15420002,0.42957386,0.4650304,1.0825388,0.13578647,0.0798207,0.58783984,0.11419358,14.364868,125.79401
PaperPINN_CNN_Flex_L2_dilated_pure_n16000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_dilated_pure_n16000_1_best.pth,"FlexCNN (L=2, dilated)","FlexCNN (L=2, dilated)",pure,,16000,0.117213584,0.6748954057693481,0.2019990966022014,0.117213584,0.6748954057693481,0.20199909660220147,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.82835287,0.17053308,0.20587009,0.772203,0.11415124,0.14782542,0.139415,0.09816106,0.7040925,0.09945082,0.15302409,1.5386912,0.43101266,0.06646216,0.15420002,0.42297623,0.4578882,1.0825388,0.13962042,0.08207445,0.58783984,0.11741787,14.770465,125.79401
PaperPINN_CNN_Flex_L2_dilated_pure_n2000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_dilated_pure_n2000_1_best.pth,"FlexCNN (L=2, dilated)","FlexCNN (L=2, dilated)",pure,,2000,0.17131226,0.3593319952487945,0.4459485459327698,0.17131226,0.35933199524879456,0.4459485459327698,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.7589057,0.156236,0.20587009,0.70746404,0.10458117,0.14782542,0.25480926,0.1794093,0.7040925,0.18176627,0.27968216,1.5386912,0.91781276,0.14152674,0.15420002,0.9006997,0.9750424,1.0825388,0.29416126,0.1729197,0.58783984,0.24738319,31.119324,125.79401
PaperPINN_CNN_Flex_L2_dilated_pure_n4000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_dilated_pure_n4000_1_best.pth,"FlexCNN (L=2, dilated)","FlexCNN (L=2, dilated)",pure,,4000,0.15450151,0.3910800218582153,0.2729949496984482,0.15450151,0.39108002185821533,0.2729949496984482,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.84611225,0.17418921,0.20587009,0.78875816,0.1165985,0.14782542,0.18156068,0.12783551,0.7040925,0.12951495,0.1992835,1.5386912,1.0694577,0.16491039,0.15420002,1.0495166,1.1361425,1.0825388,0.19222061,0.11299494,0.58783984,0.16165341,20.335032,125.79401
PaperPINN_CNN_Flex_L2_dilated_pure_n8000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_dilated_pure_n8000_1_best.pth,"FlexCNN (L=2, dilated)","FlexCNN (L=2, dilated)",pure,,8000,0.122170955,0.6443184614181519,0.2265568536520004,0.122170955,0.6443184614181519,0.22655685365200043,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.84365743,0.17368384,0.20587009,0.78647065,0.11626036,0.14782542,0.1537384,0.10824605,0.7040925,0.10966842,0.16874583,1.5386912,0.49239346,0.07592708,0.15420002,0.48321185,0.5230956,1.0825388,0.1374659,0.08080793,0.58783984,0.11560591,14.542531,125.79401
PaperPINN_CNN_Flex_L2_maxpool_physical_lam0.0001_n16000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_maxpool_physical_lam0.0001_n16000_1_best.pth,"FlexCNN (L=2, maxpool) (λ=0.0001)","FlexCNN (L=2, maxpool)",physical,0.0001,16000,0.04923585,0.952354907989502,0.0786830951720476,0.04923585,0.952354907989502,0.07868309517204762,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.20378871,0.041954,0.20587009,0.18997501,0.028083134,0.14782542,0.05945945,0.041864954,0.7040925,0.042414956,0.06526352,1.5386912,0.21898268,0.033767134,0.15420002,0.21489955,0.23263712,1.0825388,0.10954008,0.06439202,0.58783984,0.092120774,11.588242,125.79401
PaperPINN_CNN_Flex_L2_maxpool_physical_lam0.001_n4000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_maxpool_physical_lam0.001_n4000_1_best.pth,"FlexCNN (L=2, maxpool) (λ=0.001)","FlexCNN (L=2, maxpool)",physical,0.001,4000,0.08465521,0.8501498699188232,0.128353589951992,0.08465521,0.8501498699188232,0.12835358995199203,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.49228653,0.101347074,0.20587009,0.4589169,0.067839585,0.14782542,0.101926655,0.071765795,0.7040925,0.07270869,0.11187621,1.5386912,0.28072092,0.04328717,0.15420002,0.27548668,0.29822502,1.0825388,0.1588361,0.093370184,0.58783984,0.13357787,16.803295,125.79401
PaperPINN_CNN_Flex_L2_maxpool_physical_lam0.01_n8000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_maxpool_physical_lam0.01_n8000_1_best.pth,"FlexCNN (L=2, maxpool) (λ=0.01)","FlexCNN (L=2, maxpool)",physical,0.01,8000,0.054076497,0.944125771522522,0.0414128286466002,0.054076497,0.944125771522522,0.041412828646600244,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.21172893,0.043588653,0.20587009,0.19737692,0.029177327,0.14782542,0.07268993,0.051180433,0.7040925,0.051852915,0.07978562,1.5386912,0.21672954,0.0334197,0.15420002,0.21268827,0.23024331,1.0825388,0.12002854,0.07055756,0.58783984,0.100941375,12.69782,125.79401
PaperPINN_CNN_Flex_L2_maxpool_physical_lam0.1_n2000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_maxpool_physical_lam0.1_n2000_1_best.pth,"FlexCNN (L=2, maxpool) (λ=0.1)","FlexCNN (L=2, maxpool)",physical,0.1,2000,0.08785005,0.8441846370697021,0.075791523553431,0.08785005,0.8441846370697021,0.07579152355343104,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.46089345,0.09488418,0.20587009,0.42965236,0.06351354,0.14782542,0.11353901,0.079941966,0.7040925,0.08099226,0.12462207,1.5386912,0.29746443,0.045869023,0.15420002,0.29191795,0.31601253,1.0825388,0.1744492,0.10254819,0.58783984,0.14670804,18.454992,125.79401
