Architecture,BaseArch,Loss,Lambda,Samples,NRMSE,R2,PDE_Residual,File
"FlexCNN (L=4, dilated)","FlexCNN (L=4, dilated)",pure,N/A,8000,0.12985238,0.46194806694984436,0.349704222202301,PaperPINN_CNN_Flex_L4_dilated_pure_n8000_1_best.pth
"FlexCNN (L=4, dilated) (λ=0.1)","FlexCNN (L=4, dilated)",physical,0.1,8000,0.050679956,0.9483631253242493,0.028644294138997793,PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n8000_1_best.pth
"FlexCNN (L=4, maxpool)","FlexCNN (L=4, maxpool)",pure,N/A,8000,0.04657883,0.9534937739372253,0.06979248556494713,PaperPINN_CNN_Flex_L4_maxpool_pure_n8000_1_best.pth
"FlexCNN (L=4, maxpool) (λ=0.0001)","FlexCNN (L=4, maxpool)",physical,0.0001,8000,0.048002254,0.9498352408409119,0.07089186353981494,PaperPINN_CNN_Flex_L4_maxpool_physical_lam0.0001_n8000_1_best.pth
"FlexCNN (L=4, maxpool) (λ=0.001)","FlexCNN (L=4, maxpool)",physical,0.001,8000,0.037941165,0.9740721583366394,0.025846242070198058,PaperPINN_CNN_Flex_L4_maxpool_physical_lam0.001_n8000_1_best.pth
"FlexCNN (L=4, maxpool) (λ=0.01)","FlexCNN (L=4, maxpool)",physical,0.01,8000,0.06423477,0.9129734039306641,0.05859981721639633,PaperPINN_CNN_Flex_L4_maxpool_physical_lam0.01_n8000_1_best.pth
"FlexCNN (L=4, maxpool) (λ=0.1)","FlexCNN (L=4, maxpool)",physical,0.1,8000,0.057273306,0.9333859086036682,0.020546651642769576,PaperPINN_CNN_Flex_L4_maxpool_physical_lam0.1_n8000_1_best.pth
"FlexCNN (L=4, maxpool) (λ=1e-05)","FlexCNN (L=4, maxpool)",physical,1e-05,8000,0.054363966,0.9303677082061768,0.12174607452750207,PaperPINN_CNN_Flex_L4_maxpool_physical_lam1e-05_n8000_1_best.pth
MLP,MLP,pure,N/A,8000,0.17674085,0.41363638639450073,0.3824461197257042,PaperPINN_MLP_pure_n8000_1_best.pth
MLP (λ=1e-05),MLP,physical,1e-05,8000,0.17453206,0.41645777225494385,0.3293114730119705,PaperPINN_MLP_physical_lam1e-05_n8000_1_best.pth
"FlexCNN (L=1, none)","FlexCNN (L=1, none)",pure,N/A,16000,0.14454685,0.5835099220275879,0.2544887628555298,PaperPINN_CNN_Flex_L1_none_pure_n16000_1_best.pth
"FlexCNN (L=1, none) (λ=0.1)","FlexCNN (L=1, none)",physical,0.1,16000,0.111869305,0.7715835571289062,0.16260129356384279,PaperPINN_CNN_Flex_L1_none_physical_lam0.1_n16000_1_best.pth
"FlexCNN (L=2, dilated)","FlexCNN (L=2, dilated)",pure,N/A,16000,0.117213584,0.6748954057693481,0.20199909660220147,PaperPINN_CNN_Flex_L2_dilated_pure_n16000_1_best.pth
"FlexCNN (L=2, dilated) (λ=1e-05)","FlexCNN (L=2, dilated)",physical,1e-05,16000,0.11701822,0.6739096641540527,0.19161848390102387,PaperPINN_CNN_Flex_L2_dilated_physical_lam1e-05_n16000_1_best.pth
"FlexCNN (L=2, maxpool)","FlexCNN (L=2, maxpool)",pure,N/A,16000,0.049734674,0.9511421322822571,0.08014557208865881,PaperPINN_CNN_Flex_L2_maxpool_pure_n16000_1_best.pth
"FlexCNN (L=2, maxpool) (λ=0.0001)","FlexCNN (L=2, maxpool)",physical,0.0001,16000,0.04923585,0.952354907989502,0.07868309517204762,PaperPINN_CNN_Flex_L2_maxpool_physical_lam0.0001_n16000_1_best.pth
"FlexCNN (L=4, dilated)","FlexCNN (L=4, dilated)",pure,N/A,16000,0.053827904,0.9464210867881775,0.04722151333466172,PaperPINN_CNN_Flex_L4_dilated_pure_n16000_1_best.pth
"FlexCNN (L=4, dilated) (λ=0.1)","FlexCNN (L=4, dilated)",physical,0.1,16000,0.045477744,0.9587125778198242,0.02022873381525278,PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n16000_1_best.pth
"FlexCNN (L=4, maxpool)","FlexCNN (L=4, maxpool)",pure,N/A,16000,0.030295597,0.983171820640564,0.01818511269055307,PaperPINN_CNN_Flex_L4_maxpool_pure_n16000_1_best.pth
"FlexCNN (L=4, maxpool) (λ=0.001)","FlexCNN (L=4, maxpool)",physical,0.001,16000,0.03188221,0.9809067249298096,0.01813597059994936,PaperPINN_CNN_Flex_L4_maxpool_physical_lam0.001_n16000_1_best.pth
MLP,MLP,pure,N/A,16000,0.1683045,0.46117693185806274,0.32111418145895004,PaperPINN_MLP_pure_n16000_1_best.pth
MLP (λ=1e-05),MLP,physical,1e-05,16000,0.16742729,0.4685145616531372,0.2800931710600853,PaperPINN_MLP_physical_lam1e-05_n16000_1_best.pth
